value	carat	price
36866.19995	469	642
36882.19995	472	642
36899.19995	479	642
36915.19995	489	642
36932.19995	502	642
36949.19995	517	643
36965.19995	534	646
36981.19995	553	648
36998.19995	580	649
37015.19995	605	651
37032.19995	631	654
37048.19995	658	657
37065.19995	681	659
37083.19995	706	661
37098.19995	719	661
37115.19995	726	661
37132.19995	729	661
37150.19995	730	661
37449.19995	730	664
37466.19995	729	667
37483.19995	727	677
37499.19995	721	695
37515.19995	718	709
37531.19995	715	728
37548.19995	715	743
37565.19995	717	757
37583.19995	719	765
37599.19995	723	774
37615.19995	725	779
37699.19995	723	779
37715.19995	713	774
37731.19995	700	768
37748.19995	690	764
37765.19995	674	759
37782.19995	661	756
37799.19995	650	755
37815.19995	638	753
37831.19995	630	752
37849.19995	622	751
37865.19995	621	751
37882.19995	620	751
37931.19995	624	749
37950.19995	626	749
37965.19995	632	744
37982.19995	635	741
37998.19995	638	736
38015.19995	641	727
38032.19995	643	720
38049.19995	646	714
38066.19995	653	707
38081.19995	660	702
38099.19995	671	697
38118.19995	684	690
38141.19995	704	682
38152.19995	709	679
38167.19995	722	673
38183.19995	728	670
38199.19995	734	666
38216.19995	740	661
38232.19995	746	656
38249.19995	752	646
38265.19995	755	637
38282.19995	759	628
38300.19995	760	623
38316.19995	762	618
38334.19995	763	611
38356.19995	765	599
38365.19995	766	597
38382.19995	766	594
38399.19995	766	593
38532.19995	764	593
38549.19995	759	593
38566.19995	758	593
38582.19995	754	593
38600.19995	749	593
38615.19995	747	593
38632.19995	744	593
38649.19995	741	593
38666.19995	739	590
38682.19995	734	586
38699.19995	729	576
38715.19995	723	559
38732.19995	720	543
38748.19995	719	537
38767.19995	718	526
38785.19995	718	516
38800.19995	718	513
38815.19995	718	512
38998.19995	718	513
39016.19995	716	515
39049.19995	714	517
39065.19995	712	519
39082.19995	712	519
39100.19995	709	523
39117.19995	707	526
39132.19995	706	528
39149.19995	702	530
39165.19995	701	532
39182.19995	697	535
39199.19995	693	538
39215.19995	689	540
39232.19995	688	541
39248.19995	682	543
39266.19995	680	544
39282.19995	677	544
39299.19995	668	546
39316.19995	654	547
39332.19995	636	549
39348.19995	614	552
39366.19995	585	558
39382.19995	557	563
39398.19995	526	569
39415.19995	495	577
39432.19995	471	584
39450.19995	449	591
39465.19995	441	595
39482.19995	434	600
39498.19995	433	601
39515.19995	429	604
39532.19995	425	606
39816.19995	421	609
39832.19995	420	609
39849.19995	417	611
39867.19995	413	612
39884.19995	410	614
39900.19995	408	615
39915.19995	403	618
39932.19995	394	621
39949.19995	384	626
39965.19995	374	631
39982.19995	369	635
39999.19995	363	637
40015.19995	359	639
40032.19995	357	639
40049.19995	354	639
40066.19995	351	641
40098.19995	350	642
40115.19995	348	646
40132.19995	347	647
40149.19995	347	648
40182.19995	348	648
40198.19995	353	648
40216.19995	357	648
40232.19995	365	648
40249.19995	372	646
40265.19995	379	643
40282.19995	395	640
40299.19995	407	639
40316.19995	425	637
40332.19995	445	637
40349.19995	458	640
40366.19995	468	644
40383.19995	476	646
40398.19995	479	647
40415.19995	480	647
40465.19995	479	648
40482.19995	479	648
40500.19995	477	648
40516.19995	476	648
40549.19995	473	648
40565.19995	471	648
40583.19995	469	648
40599.19995	469	648
